일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/03/31,35350,250,0.71,34750,35450,34550,1636843,57535737200,17985545119150,508784869
2023/03/30,35100,-1100,-3.04,35950,36000,34950,1547328,54529271750,17858348901900,508784869
2023/03/29,36200,250,0.7,36000,36250,35750,1045362,37695048450,18418012257800,508784869
2023/03/28,35950,1100,3.16,35800,36150,35350,1523706,54726530100,18290816040550,508784869
2023/03/27,34850,300,0.87,34650,35050,34450,1092755,38004487500,17731152684650,508784869
2023/03/24,34550,-1200,-3.36,35250,35250,34550,1856734,64526317350,17578517223950,508784869
2023/03/23,35750,300,0.85,35050,35950,35000,1471917,52534025250,18189059066750,508784869
2023/03/22,35450,500,1.43,35700,35850,35250,1548154,54996463250,18036423606050,508784869
2023/03/21,34950,250,0.72,34600,35300,34500,1645690,57405151900,17782031171550,508784869
2023/03/20,34700,150,0.43,34150,35150,33850,1474283,51117839900,17654834954300,508784869
2023/03/17,34550,100,0.29,34650,35050,34300,2886686,99844202300,17578517223950,508784869
2023/03/16,34450,-1000,-2.82,35000,35150,34350,2049117,71109469000,17527638737050,508784869
2023/03/15,35450,350,1.0,35550,36050,35100,1361596,48464445950,18036423606050,508784869
2023/03/14,35100,-950,-2.64,35450,35900,35000,1581214,55815226650,17858348901900,508784869
2023/03/13,36050,250,0.7,35700,36150,35100,1243036,44395006400,18341694527450,508784869
2023/03/10,35800,-600,-1.65,36000,36050,35400,1933663,69243859000,18214498310200,508784869
2023/03/09,36400,-200,-0.55,36600,37200,36400,2498303,91644363250,18519769231600,508784869
2023/03/08,36600,-200,-0.54,37100,37600,36550,1721848,63451016850,18621526205400,508784869
2023/03/07,36800,-250,-0.67,36900,37200,36500,1493635,55170586450,18723283179200,508784869
2023/03/06,37050,0,0.0,37150,37400,36600,1613174,59781479300,18850479396450,508784869
2023/03/03,37050,-650,-1.72,37700,38050,37050,1495245,55828674850,18850479396450,508784869
2023/03/02,37700,-1150,-2.96,38500,38850,37600,2032494,77124120050,19181189561300,508784869
2023/02/28,38850,400,1.04,38400,39000,38400,1507797,58473697200,19766292160650,508784869
2023/02/27,38450,-300,-0.77,38650,39050,38200,1084391,41744035479,19562778213050,508784869
2023/02/24,38750,100,0.26,38400,39250,38350,1357069,52672476838,19715413673750,508784869
2023/02/23,38650,350,0.91,38550,39200,38350,1176055,45608115000,19664535186850,508784869
2023/02/22,38300,-750,-1.92,38950,39200,38300,1422983,54837769850,19486460482700,508784869
2023/02/21,39050,250,0.64,38800,39400,38600,1091989,42689947194,19868049134450,508784869
2023/02/20,38800,450,1.17,38450,38950,38050,790817,30557904050,19740852917200,508784869
2023/02/17,38350,450,1.19,37900,38950,37750,1499760,57773243300,19511899726150,508784869
