일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/03/31,11410,230,2.06,11230,11410,11190,2399017,27235081620,8307170864090,728060549
2023/03/30,11180,-70,-0.62,11320,11320,11130,1933125,21639183790,8139716937820,728060549
2023/03/29,11250,60,0.54,11140,11290,11130,1487193,16670946360,8190681176250,728060549
2023/03/28,11190,200,1.82,11130,11220,11090,1664838,18588948730,8146997543310,728060549
2023/03/27,10990,-20,-0.18,11050,11060,10890,1319731,14483773500,8001385433510,728060549
2023/03/24,11010,-170,-1.52,11100,11110,10980,1883684,20753322540,8015946644490,728060549
2023/03/23,11180,-60,-0.53,11120,11180,11070,1771366,19709538650,8139716937820,728060549
2023/03/22,11240,-30,-0.27,11460,11480,11200,2280459,25836073480,8183400570760,728060549
2023/03/21,11270,250,2.27,11070,11300,11030,2968024,33298527640,8205242387230,728060549
2023/03/20,11020,-70,-0.63,11070,11270,11000,2194665,24328825770,8023227249980,728060549
2023/03/17,11090,140,1.28,11060,11260,11010,4092995,45424449910,8074191488410,728060549
2023/03/16,10950,-150,-1.35,10940,11000,10880,3285192,35893554770,7972263011550,728060549
2023/03/15,11100,90,0.82,11170,11370,10990,3159120,35280313030,8081472093900,728060549
2023/03/14,11010,-390,-3.42,11250,11260,11000,3190350,35336466290,8015946644490,728060549
2023/03/13,11400,100,0.88,11250,11430,11150,2047813,23105131940,8299890258600,728060549
2023/03/10,11300,-280,-2.42,11400,11420,11260,2961524,33528914560,8227084203700,728060549
2023/03/09,11580,-70,-0.6,11700,11720,11550,2894562,33617176270,8430941157420,728060549
2023/03/08,11650,-130,-1.1,11800,11870,11620,2202726,25802954470,8481905395850,728060549
2023/03/07,11780,90,0.77,11700,11860,11650,1857755,21929628190,8576553267220,728060549
2023/03/06,11690,-20,-0.17,11720,11860,11640,2968575,34811894544,8511027817810,728060549
2023/03/03,11710,-250,-2.09,11950,12030,11680,3021688,35612676760,8525589028790,728060549
2023/03/02,11960,-240,-1.97,12150,12230,11860,4031150,48351762920,8707604166040,728060549
2023/02/28,12200,50,0.41,12150,12260,12110,2772077,33789175400,8882338697800,728060549
2023/02/27,12150,-160,-1.3,12240,12280,12030,1983694,24065900130,8845935670350,728060549
2023/02/24,12310,100,0.82,12190,12400,12180,2745395,33760032220,8962425358190,728060549
2023/02/23,12210,20,0.16,12210,12430,12190,1804960,22158195330,8889619303290,728060549
2023/02/22,12190,-200,-1.61,12340,12360,12160,1665701,20383506090,8875058092310,728060549
2023/02/21,12390,0,0.0,12390,12490,12260,1439823,17846871660,9020670202110,728060549
2023/02/20,12390,-10,-0.08,12380,12440,12270,1206388,14921961160,9020670202110,728060549
2023/02/17,12400,270,2.23,12100,12490,12100,2447769,30331477650,9027950807600,728060549
2023/02/16,12130,-70,-0.57,12200,12300,12040,3043985,36909519800,8831374459370,728060549
2023/02/15,12200,-390,-3.1,12550,12550,12160,4085986,50240087110,8882338697800,728060549
2023/02/14,12590,-360,-2.78,12900,12930,12500,3285926,41509394080,9166282311910,728060549
